:START_ID,:END_ID,:TYPE
gl500,gt0,connect
gl976,gt1,connect
gl63,gt2,connect
gl619,gt3,connect
gl689,gt4,connect
gl595,gt5,connect
gl479,gt6,connect
gl13,gt7,connect
gl821,gt8,connect
gl982,gt9,connect
gl584,gt10,connect
gl1106,gt11,connect
gl1134,gt12,connect
gl196,gt13,connect
gl1375,gt14,connect
gl921,gt15,connect
gl1155,gt16,connect
gl615,gt17,connect
gl905,gt18,connect
gl493,gt19,connect
gl1474,gt20,connect
gl1395,gt21,connect
gl168,gt22,connect
gl1498,gt23,connect
gl64,gt24,connect
gl1445,gt25,connect
gl905,gt26,connect
gl168,gt27,connect
gl857,gt28,connect
gl503,gt29,connect
gl115,gt30,connect
gl707,gt31,connect
gl1098,gt32,connect
gl1474,gt33,connect
gl936,gt34,connect
gl638,gt35,connect
gl694,gt36,connect
gl1453,gt37,connect
gl839,gt38,connect
gl991,gt39,connect
gl994,gt40,connect
gl68,gt41,connect
gl525,gt42,connect
gl140,gt43,connect
gl491,gt44,connect
gl616,gt45,connect
gl1333,gt46,connect
gl1037,gt47,connect
gl855,gt48,connect
gl175,gt49,connect
gl48,gt50,connect
gl536,gt51,connect
gl147,gt52,connect
gl29,gt53,connect
gl1097,gt54,connect
gl1445,gt55,connect
gl969,gt56,connect
gl1419,gt57,connect
gl444,gt58,connect
gl868,gt59,connect
gl559,gt60,connect
gl1308,gt61,connect
gl69,gt62,connect
gl206,gt63,connect
gl1030,gt64,connect
gl1147,gt65,connect
gl835,gt66,connect
gl1062,gt67,connect
gl61,gt68,connect
gl103,gt69,connect
gl432,gt70,connect
gl1394,gt71,connect
gl884,gt72,connect
gl850,gt73,connect
gl584,gt74,connect
gl1398,gt75,connect
gl59,gt76,connect
gl623,gt77,connect
gl1125,gt78,connect
gl315,gt79,connect
gl1341,gt80,connect
gl86,gt81,connect
gl1232,gt82,connect
gl376,gt83,connect
gl1308,gt84,connect
gl1158,gt85,connect
gl1385,gt86,connect
gl1453,gt87,connect
gl112,gt88,connect
gl604,gt89,connect
gl565,gt90,connect
gl552,gt91,connect
gl736,gt92,connect
gl467,gt93,connect
gl1490,gt94,connect
gl473,gt95,connect
gl1397,gt96,connect
gl803,gt97,connect
gl1242,gt98,connect
gl850,gt99,connect
gl761,gt100,connect
gl1280,gt101,connect
gl269,gt102,connect
gl178,gt103,connect
gl894,gt104,connect
gl797,gt105,connect
gl1307,gt106,connect
gl1216,gt107,connect
gl1450,gt108,connect
gl441,gt109,connect
gl1413,gt110,connect
gl970,gt111,connect
gl1113,gt112,connect
gl463,gt113,connect
gl1425,gt114,connect
gl460,gt115,connect
gl632,gt116,connect
gl33,gt117,connect
gl627,gt118,connect
gl530,gt119,connect
gl515,gt120,connect
gl635,gt121,connect
gl483,gt122,connect
gl7,gt123,connect
gl305,gt124,connect
gl413,gt125,connect
gl60,gt126,connect
gl702,gt127,connect
gl197,gt128,connect
gl344,gt129,connect
gl1418,gt130,connect
gl356,gt131,connect
gl1330,gt132,connect
gl598,gt133,connect
gl1031,gt134,connect
gl863,gt135,connect
gl805,gt136,connect
gl1483,gt137,connect
gl236,gt138,connect
gl498,gt139,connect
gl339,gt140,connect
gl297,gt141,connect
gl494,gt142,connect
gl9,gt143,connect
gl1498,gt144,connect
gl1165,gt145,connect
gl1082,gt146,connect
gl1012,gt147,connect
gl473,gt148,connect
gl934,gt149,connect
gl629,gt150,connect
gl624,gt151,connect
gl1111,gt152,connect
gl861,gt153,connect
gl575,gt154,connect
gl651,gt155,connect
gl1270,gt156,connect
gl764,gt157,connect
gl1130,gt158,connect
gl1065,gt159,connect
gl1301,gt160,connect
gl991,gt161,connect
gl1278,gt162,connect
gl81,gt163,connect
gl847,gt164,connect
gl1268,gt165,connect
gl1168,gt166,connect
gl604,gt167,connect
gl375,gt168,connect
gl518,gt169,connect
gl607,gt170,connect
gl1493,gt171,connect
gl875,gt172,connect
gl1149,gt173,connect
gl790,gt174,connect
gl737,gt175,connect
gl299,gt176,connect
gl640,gt177,connect
gl176,gt178,connect
gl765,gt179,connect
gl462,gt180,connect
gl1485,gt181,connect
gl1159,gt182,connect
gl968,gt183,connect
gl1077,gt184,connect
