:START_ID,:END_ID,:TYPE
gs204,gl0,connect
gs211,gl1,connect
gs157,gl2,connect
gs146,gl3,connect
gs240,gl4,connect
gs34,gl5,connect
gs124,gl6,connect
gs175,gl7,connect
gs67,gl8,connect
gs76,gl9,connect
gs107,gl10,connect
gs6,gl11,connect
gs83,gl12,connect
gs119,gl13,connect
gs197,gl14,connect
gs244,gl15,connect
gs74,gl16,connect
gs239,gl17,connect
gs46,gl18,connect
gs183,gl19,connect
gs144,gl20,connect
gs133,gl21,connect
gs222,gl22,connect
gs65,gl23,connect
gs117,gl24,connect
gs4,gl25,connect
gs40,gl26,connect
gs154,gl27,connect
gs40,gl28,connect
gs124,gl29,connect
gs134,gl30,connect
gs47,gl31,connect
gs1,gl32,connect
gs221,gl33,connect
gs169,gl34,connect
gs160,gl35,connect
gs32,gl36,connect
gs172,gl37,connect
gs3,gl38,connect
gs235,gl39,connect
gs236,gl40,connect
gs102,gl41,connect
gs134,gl42,connect
gs180,gl43,connect
gs2,gl44,connect
gs66,gl45,connect
gs112,gl46,connect
gs94,gl47,connect
gs50,gl48,connect
gs2,gl49,connect
gs150,gl50,connect
gs236,gl51,connect
gs125,gl52,connect
gs18,gl53,connect
gs107,gl54,connect
gs23,gl55,connect
gs157,gl56,connect
gs1,gl57,connect
gs123,gl58,connect
gs129,gl59,connect
gs218,gl60,connect
gs32,gl61,connect
gs62,gl62,connect
gs195,gl63,connect
gs154,gl64,connect
gs70,gl65,connect
gs89,gl66,connect
gs183,gl67,connect
gs177,gl68,connect
gs35,gl69,connect
gs185,gl70,connect
gs222,gl71,connect
gs1,gl72,connect
gs5,gl73,connect
gs245,gl74,connect
gs104,gl75,connect
gs49,gl76,connect
gs86,gl77,connect
gs118,gl78,connect
gs164,gl79,connect
gs243,gl80,connect
gs172,gl81,connect
gs235,gl82,connect
gs32,gl83,connect
gs203,gl84,connect
gs94,gl85,connect
gs123,gl86,connect
gs230,gl87,connect
gs163,gl88,connect
gs43,gl89,connect
gs186,gl90,connect
gs47,gl91,connect
gs34,gl92,connect
gs132,gl93,connect
gs245,gl94,connect
gs166,gl95,connect
gs126,gl96,connect
gs241,gl97,connect
gs43,gl98,connect
gs233,gl99,connect
gs151,gl100,connect
gs7,gl101,connect
gs130,gl102,connect
gs105,gl103,connect
gs63,gl104,connect
gs190,gl105,connect
gs132,gl106,connect
gs30,gl107,connect
gs149,gl108,connect
gs127,gl109,connect
gs15,gl110,connect
gs187,gl111,connect
gs3,gl112,connect
gs108,gl113,connect
gs111,gl114,connect
gs217,gl115,connect
gs134,gl116,connect
gs249,gl117,connect
gs168,gl118,connect
gs116,gl119,connect
gs171,gl120,connect
gs164,gl121,connect
gs86,gl122,connect
gs182,gl123,connect
gs84,gl124,connect
gs151,gl125,connect
gs55,gl126,connect
gs244,gl127,connect
gs90,gl128,connect
gs132,gl129,connect
gs92,gl130,connect
gs112,gl131,connect
gs114,gl132,connect
gs132,gl133,connect
gs66,gl134,connect
gs34,gl135,connect
gs213,gl136,connect
gs129,gl137,connect
