:START_ID,:END_ID,:TYPE
gl1128,gt0,connect
gl1445,gt1,connect
gl787,gt2,connect
gl1378,gt3,connect
gl1494,gt4,connect
gl865,gt5,connect
gl816,gt6,connect
gl71,gt7,connect
gl1430,gt8,connect
gl188,gt9,connect
gl61,gt10,connect
gl1427,gt11,connect
gl60,gt12,connect
gl92,gt13,connect
gl133,gt14,connect
gl562,gt15,connect
gl1120,gt16,connect
gl549,gt17,connect
gl1119,gt18,connect
gl1047,gt19,connect
gl1309,gt20,connect
gl370,gt21,connect
gl1399,gt22,connect
gl1009,gt23,connect
gl332,gt24,connect
gl289,gt25,connect
gl507,gt26,connect
gl150,gt27,connect
gl8,gt28,connect
gl197,gt29,connect
gl134,gt30,connect
gl847,gt31,connect
gl879,gt32,connect
gl714,gt33,connect
gl519,gt34,connect
gl895,gt35,connect
gl851,gt36,connect
gl32,gt37,connect
gl1162,gt38,connect
gl1201,gt39,connect
gl725,gt40,connect
gl43,gt41,connect
gl1010,gt42,connect
gl782,gt43,connect
gl28,gt44,connect
gl558,gt45,connect
gl1273,gt46,connect
gl952,gt47,connect
gl418,gt48,connect
gl1475,gt49,connect
gl359,gt50,connect
gl737,gt51,connect
gl1180,gt52,connect
gl339,gt53,connect
gl503,gt54,connect
gl982,gt55,connect
gl817,gt56,connect
gl1306,gt57,connect
gl1102,gt58,connect
gl641,gt59,connect
gl217,gt60,connect
gl460,gt61,connect
gl1093,gt62,connect
gl1236,gt63,connect
gl1092,gt64,connect
gl220,gt65,connect
gl715,gt66,connect
gl1442,gt67,connect
gl1223,gt68,connect
gl120,gt69,connect
gl801,gt70,connect
gl598,gt71,connect
gl490,gt72,connect
gl1059,gt73,connect
gl630,gt74,connect
gl281,gt75,connect
gl1426,gt76,connect
gl993,gt77,connect
gl246,gt78,connect
gl1052,gt79,connect
gl1260,gt80,connect
gl336,gt81,connect
gl962,gt82,connect
gl1201,gt83,connect
gl519,gt84,connect
gl388,gt85,connect
gl128,gt86,connect
gl1323,gt87,connect
gl665,gt88,connect
gl798,gt89,connect
gl257,gt90,connect
gl287,gt91,connect
gl862,gt92,connect
gl494,gt93,connect
gl1367,gt94,connect
gl611,gt95,connect
gl619,gt96,connect
gl58,gt97,connect
gl671,gt98,connect
gl9,gt99,connect
gl862,gt100,connect
gl115,gt101,connect
gl152,gt102,connect
gl498,gt103,connect
gl390,gt104,connect
gl1137,gt105,connect
gl769,gt106,connect
gl379,gt107,connect
gl1172,gt108,connect
gl453,gt109,connect
gl419,gt110,connect
gl1224,gt111,connect
gl1225,gt112,connect
gl538,gt113,connect
gl298,gt114,connect
gl699,gt115,connect
gl1453,gt116,connect
gl627,gt117,connect
gl1373,gt118,connect
gl573,gt119,connect
gl1473,gt120,connect
gl1145,gt121,connect
gl655,gt122,connect
gl949,gt123,connect
gl576,gt124,connect
gl293,gt125,connect
gl108,gt126,connect
gl47,gt127,connect
gl39,gt128,connect
gl1412,gt129,connect
gl835,gt130,connect
gl1470,gt131,connect
gl410,gt132,connect
gl1411,gt133,connect
gl1067,gt134,connect
gl346,gt135,connect
gl462,gt136,connect
gl813,gt137,connect
gl682,gt138,connect
gl921,gt139,connect
gl1498,gt140,connect
gl398,gt141,connect
gl722,gt142,connect
gl425,gt143,connect
gl1173,gt144,connect
gl501,gt145,connect
gl289,gt146,connect
gl1235,gt147,connect
gl907,gt148,connect
gl1204,gt149,connect
gl1310,gt150,connect
gl1059,gt151,connect
gl933,gt152,connect
gl124,gt153,connect
gl553,gt154,connect
gl1250,gt155,connect
gl968,gt156,connect
gl605,gt157,connect
gl496,gt158,connect
gl319,gt159,connect
gl1087,gt160,connect
gl55,gt161,connect
gl1450,gt162,connect
gl735,gt163,connect
gl912,gt164,connect
gl664,gt165,connect
gl1286,gt166,connect
gl110,gt167,connect
gl1382,gt168,connect
gl902,gt169,connect
gl664,gt170,connect
gl502,gt171,connect
gl292,gt172,connect
gl1309,gt173,connect
gl624,gt174,connect
gl332,gt175,connect
gl93,gt176,connect
gl975,gt177,connect
gl403,gt178,connect
gl873,gt179,connect
gl765,gt180,connect
gl261,gt181,connect
gl110,gt182,connect
gl1330,gt183,connect
gl1146,gt184,connect
gl564,gt185,connect
gl684,gt186,connect
gl120,gt187,connect
gl682,gt188,connect
gl790,gt189,connect
gl593,gt190,connect
gl365,gt191,connect
gl902,gt192,connect
gl270,gt193,connect
gl971,gt194,connect
gl0,gt195,connect
gl362,gt196,connect
gl929,gt197,connect
gl269,gt198,connect
gl276,gt199,connect
gl856,gt200,connect
gl401,gt201,connect
gl297,gt202,connect
gl1219,gt203,connect
gl180,gt204,connect
gl1308,gt205,connect
gl1158,gt206,connect
gl421,gt207,connect
gl1477,gt208,connect
gl618,gt209,connect
gl964,gt210,connect
gl503,gt211,connect
gl778,gt212,connect
gl215,gt213,connect
gl53,gt214,connect
gl890,gt215,connect
gl1388,gt216,connect
gl1273,gt217,connect
gl678,gt218,connect
gl1094,gt219,connect
gl440,gt220,connect
gl1269,gt221,connect
gl817,gt222,connect
gl876,gt223,connect
gl1192,gt224,connect
gl489,gt225,connect
gl1207,gt226,connect
gl1441,gt227,connect
gl1452,gt228,connect
gl1089,gt229,connect
gl493,gt230,connect
gl1312,gt231,connect
gl31,gt232,connect
gl159,gt233,connect
gl1062,gt234,connect
gl354,gt235,connect
gl560,gt236,connect
gl988,gt237,connect
gl1022,gt238,connect
gl1209,gt239,connect
gl122,gt240,connect
gl773,gt241,connect
gl1457,gt242,connect
gl318,gt243,connect
gl836,gt244,connect
gl532,gt245,connect
gl882,gt246,connect
gl1477,gt247,connect
gl1358,gt248,connect
gl360,gt249,connect
gl1112,gt250,connect
gl953,gt251,connect
gl568,gt252,connect
gl177,gt253,connect
gl944,gt254,connect
gl1430,gt255,connect
gl1237,gt256,connect
gl265,gt257,connect
gl391,gt258,connect
gl515,gt259,connect
gl1098,gt260,connect
gl380,gt261,connect
gl1275,gt262,connect
gl871,gt263,connect
gl9,gt264,connect
gl1455,gt265,connect
gl567,gt266,connect
gl519,gt267,connect
gl605,gt268,connect
gl874,gt269,connect
gl487,gt270,connect
gl1336,gt271,connect
gl466,gt272,connect
gl453,gt273,connect
gl109,gt274,connect
gl1439,gt275,connect
gl37,gt276,connect
gl447,gt277,connect
gl1421,gt278,connect
gl1296,gt279,connect
gl541,gt280,connect
gl697,gt281,connect
gl1006,gt282,connect
gl63,gt283,connect
gl193,gt284,connect
gl416,gt285,connect
gl448,gt286,connect
gl824,gt287,connect
gl1007,gt288,connect
gl386,gt289,connect
gl491,gt290,connect
gl871,gt291,connect
gl671,gt292,connect
gl1263,gt293,connect
gl1019,gt294,connect
gl816,gt295,connect
gl868,gt296,connect
gl1046,gt297,connect
gl671,gt298,connect
gl884,gt299,connect
gl633,gt300,connect
gl1399,gt301,connect
gl368,gt302,connect
gl1282,gt303,connect
gl42,gt304,connect
gl7,gt305,connect
gl1489,gt306,connect
gl532,gt307,connect
gl64,gt308,connect
gl268,gt309,connect
gl1254,gt310,connect
gl1225,gt311,connect
gl729,gt312,connect
gl1099,gt313,connect
gl1428,gt314,connect
gl577,gt315,connect
gl1241,gt316,connect
gl1016,gt317,connect
gl771,gt318,connect
gl217,gt319,connect
gl1336,gt320,connect
gl300,gt321,connect
gl409,gt322,connect
gl421,gt323,connect
gl667,gt324,connect
gl507,gt325,connect
gl1335,gt326,connect
gl103,gt327,connect
gl655,gt328,connect
gl1067,gt329,connect
gl1383,gt330,connect
gl1237,gt331,connect
gl82,gt332,connect
gl638,gt333,connect
gl611,gt334,connect
gl857,gt335,connect
gl578,gt336,connect
gl1349,gt337,connect
gl15,gt338,connect
gl637,gt339,connect
gl318,gt340,connect
gl1140,gt341,connect
gl316,gt342,connect
gl317,gt343,connect
gl1152,gt344,connect
gl1314,gt345,connect
gl538,gt346,connect
gl1427,gt347,connect
gl840,gt348,connect
gl1419,gt349,connect
gl570,gt350,connect
gl31,gt351,connect
gl1206,gt352,connect
gl940,gt353,connect
gl820,gt354,connect
gl579,gt355,connect
gl934,gt356,connect
gl409,gt357,connect
gl959,gt358,connect
gl874,gt359,connect
gl285,gt360,connect
gl596,gt361,connect
gl1411,gt362,connect
gl583,gt363,connect
gl180,gt364,connect
gl1141,gt365,connect
gl1298,gt366,connect
gl1141,gt367,connect
gl287,gt368,connect
gl626,gt369,connect
gl646,gt370,connect
gl832,gt371,connect
gl1245,gt372,connect
gl1148,gt373,connect
gl840,gt374,connect
gl1249,gt375,connect
gl1190,gt376,connect
gl542,gt377,connect
gl902,gt378,connect
gl11,gt379,connect
gl774,gt380,connect
gl718,gt381,connect
gl943,gt382,connect
gl571,gt383,connect
gl188,gt384,connect
gl1225,gt385,connect
gl1301,gt386,connect
gl1192,gt387,connect
gl255,gt388,connect
gl974,gt389,connect
gl949,gt390,connect
gl1181,gt391,connect
gl827,gt392,connect
gl128,gt393,connect
gl1371,gt394,connect
gl632,gt395,connect
gl602,gt396,connect
gl727,gt397,connect
gl821,gt398,connect
gl1394,gt399,connect
gl467,gt400,connect
gl512,gt401,connect
gl1377,gt402,connect
gl480,gt403,connect
gl874,gt404,connect
gl1375,gt405,connect
gl1077,gt406,connect
gl1335,gt407,connect
gl234,gt408,connect
gl1498,gt409,connect
gl1346,gt410,connect
gl839,gt411,connect
gl747,gt412,connect
gl594,gt413,connect
gl634,gt414,connect
gl854,gt415,connect
gl786,gt416,connect
gl639,gt417,connect
gl720,gt418,connect
gl1272,gt419,connect
gl556,gt420,connect
gl173,gt421,connect
gl898,gt422,connect
gl286,gt423,connect
gl706,gt424,connect
gl979,gt425,connect
gl910,gt426,connect
gl972,gt427,connect
gl1383,gt428,connect
gl440,gt429,connect
gl846,gt430,connect
gl454,gt431,connect
gl1006,gt432,connect
gl1100,gt433,connect
gl37,gt434,connect
gl873,gt435,connect
gl397,gt436,connect
gl916,gt437,connect
gl695,gt438,connect
gl359,gt439,connect
gl1020,gt440,connect
gl1171,gt441,connect
gl1417,gt442,connect
gl1464,gt443,connect
gl1105,gt444,connect
gl1241,gt445,connect
gl80,gt446,connect
gl1209,gt447,connect
gl752,gt448,connect
gl1099,gt449,connect
gl439,gt450,connect
gl1138,gt451,connect
gl750,gt452,connect
gl948,gt453,connect
gl124,gt454,connect
gl1317,gt455,connect
gl84,gt456,connect
gl1242,gt457,connect
gl1000,gt458,connect
gl1379,gt459,connect
gl410,gt460,connect
gl1456,gt461,connect
gl1404,gt462,connect
gl1387,gt463,connect
gl1312,gt464,connect
gl344,gt465,connect
gl1116,gt466,connect
gl747,gt467,connect
gl895,gt468,connect
gl672,gt469,connect
gl99,gt470,connect
gl1200,gt471,connect
gl872,gt472,connect
gl573,gt473,connect
gl447,gt474,connect
gl850,gt475,connect
gl1428,gt476,connect
gl1212,gt477,connect
gl1115,gt478,connect
gl1048,gt479,connect
gl438,gt480,connect
gl963,gt481,connect
gl1322,gt482,connect
gl1413,gt483,connect
gl437,gt484,connect
gl438,gt485,connect
gl165,gt486,connect
gl1046,gt487,connect
gl758,gt488,connect
gl1105,gt489,connect
gl358,gt490,connect
gl1291,gt491,connect
gl789,gt492,connect
gl849,gt493,connect
gl1237,gt494,connect
gl1182,gt495,connect
gl890,gt496,connect
gl519,gt497,connect
gl703,gt498,connect
gl1465,gt499,connect
gl549,gt500,connect
gl1384,gt501,connect
gl795,gt502,connect
gl1230,gt503,connect
gl383,gt504,connect
gl291,gt505,connect
gl1048,gt506,connect
gl909,gt507,connect
gl806,gt508,connect
gl875,gt509,connect
gl67,gt510,connect
gl266,gt511,connect
gl1448,gt512,connect
gl940,gt513,connect
gl1441,gt514,connect
gl95,gt515,connect
gl87,gt516,connect
gl406,gt517,connect
gl1045,gt518,connect
gl889,gt519,connect
gl563,gt520,connect
gl946,gt521,connect
gl1332,gt522,connect
gl1191,gt523,connect
gl244,gt524,connect
gl463,gt525,connect
gl1400,gt526,connect
gl1157,gt527,connect
gl589,gt528,connect
gl373,gt529,connect
gl41,gt530,connect
gl808,gt531,connect
gl528,gt532,connect
gl829,gt533,connect
gl184,gt534,connect
gl785,gt535,connect
gl1472,gt536,connect
gl644,gt537,connect
gl342,gt538,connect
gl1197,gt539,connect
gl500,gt540,connect
gl1278,gt541,connect
gl196,gt542,connect
gl742,gt543,connect
gl529,gt544,connect
gl578,gt545,connect
gl951,gt546,connect
gl865,gt547,connect
gl894,gt548,connect
gl1333,gt549,connect
gl1337,gt550,connect
gl459,gt551,connect
gl484,gt552,connect
gl63,gt553,connect
gl1104,gt554,connect
gl146,gt555,connect
gl908,gt556,connect
gl874,gt557,connect
gl725,gt558,connect
gl690,gt559,connect
gl664,gt560,connect
gl340,gt561,connect
gl79,gt562,connect
gl726,gt563,connect
