:START_ID,:END_ID,:TYPE
yl565,yt0,connect
yl699,yt1,connect
yl395,yt2,connect
yl387,yt3,connect
yl532,yt4,connect
yl719,yt5,connect
yl588,yt6,connect
yl140,yt7,connect
yl801,yt8,connect
yl663,yt9,connect
yl192,yt10,connect
yl527,yt11,connect
yl585,yt12,connect
yl385,yt13,connect
yl651,yt14,connect
yl1371,yt15,connect
yl475,yt16,connect
yl85,yt17,connect
yl909,yt18,connect
yl309,yt19,connect
yl1237,yt20,connect
yl844,yt21,connect
yl1288,yt22,connect
yl1107,yt23,connect
yl584,yt24,connect
yl427,yt25,connect
yl1269,yt26,connect
yl376,yt27,connect
yl363,yt28,connect
yl1427,yt29,connect
yl98,yt30,connect
yl79,yt31,connect
yl1436,yt32,connect
yl298,yt33,connect
yl1370,yt34,connect
yl324,yt35,connect
yl408,yt36,connect
yl1060,yt37,connect
yl1472,yt38,connect
yl586,yt39,connect
yl345,yt40,connect
yl424,yt41,connect
yl432,yt42,connect
yl788,yt43,connect
yl1225,yt44,connect
yl281,yt45,connect
yl486,yt46,connect
yl413,yt47,connect
yl6,yt48,connect
yl1228,yt49,connect
yl1220,yt50,connect
yl1429,yt51,connect
yl1011,yt52,connect
yl1108,yt53,connect
yl173,yt54,connect
yl1032,yt55,connect
yl1094,yt56,connect
yl394,yt57,connect
yl137,yt58,connect
yl678,yt59,connect
yl116,yt60,connect
yl896,yt61,connect
yl846,yt62,connect
yl693,yt63,connect
yl158,yt64,connect
yl990,yt65,connect
yl219,yt66,connect
yl836,yt67,connect
yl1157,yt68,connect
yl720,yt69,connect
yl236,yt70,connect
yl21,yt71,connect
yl564,yt72,connect
yl630,yt73,connect
yl51,yt74,connect
yl437,yt75,connect
yl884,yt76,connect
yl1141,yt77,connect
yl1245,yt78,connect
yl257,yt79,connect
yl808,yt80,connect
yl1108,yt81,connect
yl619,yt82,connect
yl429,yt83,connect
yl268,yt84,connect
yl507,yt85,connect
yl248,yt86,connect
yl1230,yt87,connect
yl1379,yt88,connect
yl231,yt89,connect
yl416,yt90,connect
yl1071,yt91,connect
yl470,yt92,connect
yl147,yt93,connect
yl313,yt94,connect
yl1373,yt95,connect
yl1002,yt96,connect
yl575,yt97,connect
yl226,yt98,connect
yl84,yt99,connect
yl974,yt100,connect
yl858,yt101,connect
yl257,yt102,connect
yl1051,yt103,connect
yl880,yt104,connect
yl1482,yt105,connect
yl337,yt106,connect
yl523,yt107,connect
yl749,yt108,connect
yl56,yt109,connect
yl1260,yt110,connect
yl571,yt111,connect
yl1373,yt112,connect
