sub_name,id:ID,:LABEL
北京顺义区220kV变电站,ys0,YX;SUBS
北京怀柔区6kV电站,ys1,YX;SUBS
山土家族苗族自治县6kV站,ys2,YX;SUBS
江津区10kV站,ys3,YX;SUBS
武隆县10kV变电站,ys4,YX;SUBS
巫溪县110kV变电站,ys5,YX;SUBS
永川区110kV电站,ys6,YX;SUBS
北京延庆县10kV站,ys7,YX;SUBS
北京石景山区6kV站,ys8,YX;SUBS
北京宣武区10kV电站,ys9,YX;SUBS
北京石景山区6kV站,ys10,YX;SUBS
渝中区10kV电站,ys11,YX;SUBS
北京门头沟区35kV电站,ys12,YX;SUBS
渝北区110kV电站,ys13,YX;SUBS
大足县220kV电站,ys14,YX;SUBS
北京密云县110kV变电站,ys15,YX;SUBS
奉节县6kV电站,ys16,YX;SUBS
北碚区35kV变电站,ys17,YX;SUBS
双桥区110kV电站,ys18,YX;SUBS
北京昌平区110kV电站,ys19,YX;SUBS
彭水苗族土家族自治县110kV站,ys20,YX;SUBS
北京平谷区220kV站,ys21,YX;SUBS
大足县35kV站,ys22,YX;SUBS
万盛区220kV电站,ys23,YX;SUBS
沙坪坝区6kV电站,ys24,YX;SUBS
阳土家族苗族自治县10kV站,ys25,YX;SUBS
巫溪县220kV变电站,ys26,YX;SUBS
双桥区35kV电站,ys27,YX;SUBS
璧山县10kV变电站,ys28,YX;SUBS
彭水苗族土家族自治县220kV变电站,ys29,YX;SUBS
涪陵区35kV站,ys30,YX;SUBS
长寿区35kV站,ys31,YX;SUBS
涪陵区6kV变电站,ys32,YX;SUBS
万州区220kV站,ys33,YX;SUBS
北京平谷区110kV站,ys34,YX;SUBS
万州区220kV变电站,ys35,YX;SUBS
江津区6kV变电站,ys36,YX;SUBS
潼南县35kV电站,ys37,YX;SUBS
北京密云县220kV电站,ys38,YX;SUBS
忠县220kV电站,ys39,YX;SUBS
合川区110kV站,ys40,YX;SUBS
北碚区10kV电站,ys41,YX;SUBS
巫溪县35kV变电站,ys42,YX;SUBS
荣昌县110kV站,ys43,YX;SUBS
梁平县220kV变电站,ys44,YX;SUBS
丰都县35kV站,ys45,YX;SUBS
北京昌平区10kV电站,ys46,YX;SUBS
