:START_ID,:END_ID,:TYPE
ys35,yl0,connect
ys184,yl1,connect
ys14,yl2,connect
ys0,yl3,connect
ys216,yl4,connect
ys215,yl5,connect
ys131,yl6,connect
ys235,yl7,connect
ys136,yl8,connect
ys130,yl9,connect
ys126,yl10,connect
ys57,yl11,connect
ys130,yl12,connect
ys87,yl13,connect
ys183,yl14,connect
ys94,yl15,connect
ys111,yl16,connect
ys31,yl17,connect
ys40,yl18,connect
ys51,yl19,connect
ys76,yl20,connect
ys97,yl21,connect
ys190,yl22,connect
ys165,yl23,connect
ys152,yl24,connect
ys173,yl25,connect
ys98,yl26,connect
ys121,yl27,connect
ys37,yl28,connect
ys124,yl29,connect
ys123,yl30,connect
ys42,yl31,connect
ys54,yl32,connect
ys59,yl33,connect
ys42,yl34,connect
ys74,yl35,connect
ys229,yl36,connect
ys244,yl37,connect
ys210,yl38,connect
ys104,yl39,connect
ys139,yl40,connect
ys4,yl41,connect
ys136,yl42,connect
ys129,yl43,connect
ys208,yl44,connect
ys214,yl45,connect
ys189,yl46,connect
ys224,yl47,connect
ys84,yl48,connect
ys188,yl49,connect
ys87,yl50,connect
ys212,yl51,connect
ys189,yl52,connect
ys175,yl53,connect
ys205,yl54,connect
ys231,yl55,connect
ys246,yl56,connect
ys15,yl57,connect
ys188,yl58,connect
ys2,yl59,connect
ys183,yl60,connect
ys111,yl61,connect
ys110,yl62,connect
ys199,yl63,connect
ys192,yl64,connect
ys4,yl65,connect
ys22,yl66,connect
ys69,yl67,connect
ys194,yl68,connect
ys200,yl69,connect
ys200,yl70,connect
ys236,yl71,connect
ys12,yl72,connect
ys31,yl73,connect
ys110,yl74,connect
ys217,yl75,connect
ys178,yl76,connect
ys122,yl77,connect
ys121,yl78,connect
ys245,yl79,connect
ys162,yl80,connect
ys204,yl81,connect
ys244,yl82,connect
ys151,yl83,connect
ys1,yl84,connect
ys68,yl85,connect
ys229,yl86,connect
ys171,yl87,connect
ys78,yl88,connect
ys178,yl89,connect
ys193,yl90,connect
ys222,yl91,connect
ys242,yl92,connect
ys181,yl93,connect
ys60,yl94,connect
ys17,yl95,connect
ys194,yl96,connect
ys70,yl97,connect
ys111,yl98,connect
ys205,yl99,connect
ys171,yl100,connect
ys66,yl101,connect
ys211,yl102,connect
ys231,yl103,connect
ys30,yl104,connect
ys57,yl105,connect
ys190,yl106,connect
ys134,yl107,connect
ys33,yl108,connect
ys153,yl109,connect
ys247,yl110,connect
ys213,yl111,connect
ys63,yl112,connect
ys231,yl113,connect
ys150,yl114,connect
ys56,yl115,connect
ys90,yl116,connect
ys153,yl117,connect
ys150,yl118,connect
ys115,yl119,connect
ys132,yl120,connect
ys107,yl121,connect
ys111,yl122,connect
ys70,yl123,connect
ys222,yl124,connect
ys233,yl125,connect
ys173,yl126,connect
ys209,yl127,connect
ys37,yl128,connect
ys212,yl129,connect
ys171,yl130,connect
ys240,yl131,connect
ys119,yl132,connect
ys239,yl133,connect
ys228,yl134,connect
ys159,yl135,connect
ys226,yl136,connect
ys22,yl137,connect
ys49,yl138,connect
ys20,yl139,connect
ys239,yl140,connect
ys56,yl141,connect
ys149,yl142,connect
ys104,yl143,connect
ys18,yl144,connect
ys30,yl145,connect
ys12,yl146,connect
ys153,yl147,connect
ys8,yl148,connect
ys200,yl149,connect
ys105,yl150,connect
ys44,yl151,connect
ys150,yl152,connect
ys107,yl153,connect
ys112,yl154,connect
ys64,yl155,connect
ys160,yl156,connect
ys127,yl157,connect
ys78,yl158,connect
ys53,yl159,connect
ys149,yl160,connect
ys164,yl161,connect
ys149,yl162,connect
ys206,yl163,connect
ys70,yl164,connect
ys204,yl165,connect
ys138,yl166,connect
ys29,yl167,connect
ys191,yl168,connect
ys20,yl169,connect
ys233,yl170,connect
ys218,yl171,connect
ys238,yl172,connect
ys17,yl173,connect
ys189,yl174,connect
ys196,yl175,connect
ys13,yl176,connect
ys152,yl177,connect
ys205,yl178,connect
ys111,yl179,connect
ys191,yl180,connect
ys159,yl181,connect
ys205,yl182,connect
ys34,yl183,connect
ys99,yl184,connect
ys224,yl185,connect
ys243,yl186,connect
ys163,yl187,connect
ys181,yl188,connect
ys37,yl189,connect
ys156,yl190,connect
ys132,yl191,connect
ys52,yl192,connect
ys57,yl193,connect
ys195,yl194,connect
ys214,yl195,connect
ys20,yl196,connect
ys139,yl197,connect
ys178,yl198,connect
ys68,yl199,connect
ys16,yl200,connect
ys210,yl201,connect
ys197,yl202,connect
ys100,yl203,connect
ys27,yl204,connect
ys6,yl205,connect
ys142,yl206,connect
ys242,yl207,connect
ys184,yl208,connect
ys36,yl209,connect
ys121,yl210,connect
ys75,yl211,connect
ys71,yl212,connect
ys125,yl213,connect
ys80,yl214,connect
ys113,yl215,connect
ys0,yl216,connect
ys88,yl217,connect
ys180,yl218,connect
ys32,yl219,connect
ys44,yl220,connect
ys142,yl221,connect
ys23,yl222,connect
ys132,yl223,connect
ys61,yl224,connect
ys75,yl225,connect
ys115,yl226,connect
ys113,yl227,connect
ys128,yl228,connect
ys109,yl229,connect
ys79,yl230,connect
ys87,yl231,connect
ys73,yl232,connect
ys91,yl233,connect
ys108,yl234,connect
ys246,yl235,connect
ys46,yl236,connect
ys149,yl237,connect
ys219,yl238,connect
ys83,yl239,connect
ys100,yl240,connect
ys90,yl241,connect
ys202,yl242,connect
ys195,yl243,connect
ys137,yl244,connect
ys60,yl245,connect
ys64,yl246,connect
ys189,yl247,connect
ys235,yl248,connect
ys183,yl249,connect
ys124,yl250,connect
ys101,yl251,connect
ys214,yl252,connect
ys114,yl253,connect
ys99,yl254,connect
ys188,yl255,connect
ys154,yl256,connect
ys163,yl257,connect
ys94,yl258,connect
ys11,yl259,connect
ys237,yl260,connect
ys152,yl261,connect
ys174,yl262,connect
ys232,yl263,connect
ys123,yl264,connect
ys107,yl265,connect
ys103,yl266,connect
ys26,yl267,connect
ys227,yl268,connect
ys16,yl269,connect
ys180,yl270,connect
ys47,yl271,connect
ys16,yl272,connect
ys51,yl273,connect
ys228,yl274,connect
ys193,yl275,connect
ys181,yl276,connect
ys91,yl277,connect
ys231,yl278,connect
ys18,yl279,connect
ys207,yl280,connect
ys41,yl281,connect
ys147,yl282,connect
ys207,yl283,connect
ys19,yl284,connect
ys62,yl285,connect
ys198,yl286,connect
ys203,yl287,connect
ys131,yl288,connect
ys183,yl289,connect
ys231,yl290,connect
ys51,yl291,connect
ys211,yl292,connect
ys211,yl293,connect
ys227,yl294,connect
ys160,yl295,connect
ys73,yl296,connect
ys39,yl297,connect
