tran_name,id:ID,:LABEL
忠县10kV变压器,yt0,YX;TRAN
北京西城区10kV变压器,yt1,YX;TRAN
铜梁县6kV变压器,yt2,YX;TRAN
北京延庆县6kV变,yt3,YX;TRAN
铜梁县10kV变,yt4,YX;TRAN
山土家族苗族自治县6kV变,yt5,YX;TRAN
北京顺义区10kV变,yt6,YX;TRAN
合川区6kV变,yt7,YX;TRAN
璧山县6kV变压器,yt8,YX;TRAN
北京门头沟区6kV变压器,yt9,YX;TRAN
武隆县6kV变压器,yt10,YX;TRAN
万州区10kV变压器,yt11,YX;TRAN
北京丰台区6kV变,yt12,YX;TRAN
大渡口区6kV变压器,yt13,YX;TRAN
北京平谷区10kV变,yt14,YX;TRAN
涪陵区6kV变,yt15,YX;TRAN
北京石景山区10kV变,yt16,YX;TRAN
北京东城区10kV变,yt17,YX;TRAN
北京石景山区10kV变压器,yt18,YX;TRAN
渝中区6kV变压器,yt19,YX;TRAN
垫江县10kV变,yt20,YX;TRAN
涪陵区10kV变压器,yt21,YX;TRAN
北京大兴区6kV变压器,yt22,YX;TRAN
双桥区6kV变压器,yt23,YX;TRAN
双桥区10kV变压器,yt24,YX;TRAN
荣昌县6kV变,yt25,YX;TRAN
北京宣武区10kV变,yt26,YX;TRAN
北京丰台区6kV变压器,yt27,YX;TRAN
北京东城区10kV变,yt28,YX;TRAN
潼南县6kV变,yt29,YX;TRAN
垫江县6kV变压器,yt30,YX;TRAN
璧山县6kV变,yt31,YX;TRAN
北京通州区6kV变,yt32,YX;TRAN
北京顺义区10kV变压器,yt33,YX;TRAN
璧山县10kV变压器,yt34,YX;TRAN
垫江县10kV变压器,yt35,YX;TRAN
巴南区10kV变,yt36,YX;TRAN
奉节县10kV变,yt37,YX;TRAN
北碚区6kV变压器,yt38,YX;TRAN
垫江县6kV变压器,yt39,YX;TRAN
荣昌县10kV变压器,yt40,YX;TRAN
北京海淀区10kV变压器,yt41,YX;TRAN
北京宣武区10kV变压器,yt42,YX;TRAN
渝中区10kV变,yt43,YX;TRAN
渝北区6kV变,yt44,YX;TRAN
北京海淀区10kV变压器,yt45,YX;TRAN
北京石景山区6kV变,yt46,YX;TRAN
江津区6kV变,yt47,YX;TRAN
南川区綦江县6kV变压器,yt48,YX;TRAN
大渡口区6kV变,yt49,YX;TRAN
九龙坡区6kV变压器,yt50,YX;TRAN
垫江县10kV变,yt51,YX;TRAN
江津区6kV变,yt52,YX;TRAN
合川区6kV变压器,yt53,YX;TRAN
奉节县10kV变,yt54,YX;TRAN
丰都县10kV变压器,yt55,YX;TRAN
北京房山区6kV变,yt56,YX;TRAN
巫山县6kV变压器,yt57,YX;TRAN
黔江区6kV变压器,yt58,YX;TRAN
北京朝阳区10kV变,yt59,YX;TRAN
黔江区6kV变压器,yt60,YX;TRAN
北京丰台区10kV变压器,yt61,YX;TRAN
大足县6kV变,yt62,YX;TRAN
江北区10kV变压器,yt63,YX;TRAN
北京石景山区6kV变压器,yt64,YX;TRAN
万州区10kV变压器,yt65,YX;TRAN
北碚区10kV变,yt66,YX;TRAN
北京通州区10kV变压器,yt67,YX;TRAN
北京丰台区6kV变,yt68,YX;TRAN
丰都县6kV变压器,yt69,YX;TRAN
北碚区10kV变压器,yt70,YX;TRAN
武隆县6kV变压器,yt71,YX;TRAN
彭水苗族土家族自治县10kV变,yt72,YX;TRAN
丰都县6kV变压器,yt73,YX;TRAN
北京延庆县6kV变,yt74,YX;TRAN
北京朝阳区10kV变压器,yt75,YX;TRAN
北京门头沟区6kV变压器,yt76,YX;TRAN
合川区10kV变压器,yt77,YX;TRAN
梁平县10kV变压器,yt78,YX;TRAN
沙坪坝区10kV变,yt79,YX;TRAN
北京密云县10kV变压器,yt80,YX;TRAN
城口县6kV变压器,yt81,YX;TRAN
奉节县10kV变,yt82,YX;TRAN
忠县10kV变,yt83,YX;TRAN
北京顺义区6kV变,yt84,YX;TRAN
彭水苗族土家族自治县6kV变压器,yt85,YX;TRAN
北京海淀区6kV变,yt86,YX;TRAN
巫溪县6kV变,yt87,YX;TRAN
北京平谷区6kV变,yt88,YX;TRAN
阳土家族苗族自治县10kV变压器,yt89,YX;TRAN
万盛区6kV变,yt90,YX;TRAN
大足县6kV变压器,yt91,YX;TRAN
永川区6kV变压器,yt92,YX;TRAN
垫江县10kV变,yt93,YX;TRAN
铜梁县6kV变压器,yt94,YX;TRAN
北京朝阳区6kV变压器,yt95,YX;TRAN
荣昌县6kV变压器,yt96,YX;TRAN
城口县6kV变,yt97,YX;TRAN
南川区綦江县6kV变,yt98,YX;TRAN
潼南县10kV变压器,yt99,YX;TRAN
北京东城区10kV变压器,yt100,YX;TRAN
璧山县10kV变压器,yt101,YX;TRAN
长寿区10kV变压器,yt102,YX;TRAN
永川区10kV变压器,yt103,YX;TRAN
北京通州区10kV变,yt104,YX;TRAN
璧山县10kV变压器,yt105,YX;TRAN
江北区10kV变压器,yt106,YX;TRAN
万盛区6kV变压器,yt107,YX;TRAN
北碚区10kV变压器,yt108,YX;TRAN
彭水苗族土家族自治县10kV变,yt109,YX;TRAN
北京东城区10kV变压器,yt110,YX;TRAN
永川区6kV变,yt111,YX;TRAN
巴南区10kV变,yt112,YX;TRAN
黔江区10kV变,yt113,YX;TRAN
北京崇文区6kV变压器,yt114,YX;TRAN
北京崇文区6kV变压器,yt115,YX;TRAN
巫山县10kV变,yt116,YX;TRAN
北京崇文区10kV变压器,yt117,YX;TRAN
北京延庆县6kV变压器,yt118,YX;TRAN
荣昌县6kV变压器,yt119,YX;TRAN
武隆县6kV变压器,yt120,YX;TRAN
双桥区6kV变压器,yt121,YX;TRAN
垫江县10kV变压器,yt122,YX;TRAN
柱土家族自治县10kV变压器,yt123,YX;TRAN
北京延庆县10kV变,yt124,YX;TRAN
柱土家族自治县6kV变,yt125,YX;TRAN
北京延庆县10kV变压器,yt126,YX;TRAN
北京昌平区10kV变,yt127,YX;TRAN
北京东城区10kV变压器,yt128,YX;TRAN
北京通州区6kV变,yt129,YX;TRAN
阳土家族苗族自治县6kV变,yt130,YX;TRAN
荣昌县10kV变,yt131,YX;TRAN
北京宣武区10kV变,yt132,YX;TRAN
江津区6kV变,yt133,YX;TRAN
柱土家族自治县6kV变,yt134,YX;TRAN
黔江区10kV变,yt135,YX;TRAN
涪陵区10kV变,yt136,YX;TRAN
北京石景山区6kV变压器,yt137,YX;TRAN
巫山县6kV变,yt138,YX;TRAN
南川区綦江县6kV变,yt139,YX;TRAN
北京大兴区10kV变,yt140,YX;TRAN
丰都县10kV变压器,yt141,YX;TRAN
北京顺义区10kV变压器,yt142,YX;TRAN
九龙坡区6kV变压器,yt143,YX;TRAN
南岸区10kV变压器,yt144,YX;TRAN
长寿区6kV变,yt145,YX;TRAN
巫山县6kV变,yt146,YX;TRAN
南岸区10kV变,yt147,YX;TRAN
北京平谷区10kV变压器,yt148,YX;TRAN
涪陵区10kV变压器,yt149,YX;TRAN
潼南县10kV变,yt150,YX;TRAN
巫溪县6kV变,yt151,YX;TRAN
北京昌平区10kV变,yt152,YX;TRAN
北京昌平区10kV变压器,yt153,YX;TRAN
奉节县10kV变压器,yt154,YX;TRAN
城口县6kV变,yt155,YX;TRAN
北京昌平区10kV变,yt156,YX;TRAN
垫江县10kV变,yt157,YX;TRAN
北京海淀区10kV变压器,yt158,YX;TRAN
长寿区6kV变,yt159,YX;TRAN
双桥区6kV变,yt160,YX;TRAN
南川区綦江县10kV变,yt161,YX;TRAN
长寿区6kV变,yt162,YX;TRAN
北京朝阳区10kV变,yt163,YX;TRAN
合川区10kV变,yt164,YX;TRAN
北京大兴区6kV变,yt165,YX;TRAN
北京西城区10kV变,yt166,YX;TRAN
万州区6kV变压器,yt167,YX;TRAN
丰都县6kV变,yt168,YX;TRAN
彭水苗族土家族自治县6kV变,yt169,YX;TRAN
大渡口区10kV变,yt170,YX;TRAN
大足县6kV变压器,yt171,YX;TRAN
山土家族苗族自治县10kV变压器,yt172,YX;TRAN
大足县10kV变,yt173,YX;TRAN
铜梁县6kV变压器,yt174,YX;TRAN
北京怀柔区6kV变压器,yt175,YX;TRAN
梁平县6kV变,yt176,YX;TRAN
双桥区10kV变压器,yt177,YX;TRAN
铜梁县10kV变,yt178,YX;TRAN
北京宣武区6kV变,yt179,YX;TRAN
北京昌平区6kV变,yt180,YX;TRAN
永川区6kV变压器,yt181,YX;TRAN
北京朝阳区10kV变压器,yt182,YX;TRAN
